"first_name","last_name","type"
"Aaron","Selby","customer"
"Adam","Gooch","customer"
"Adam","Grant","actor"
"Adam","Hopper","actor"
"Adrian","Clary","customer"
"Agnes","Bishop","customer"
"Al","Garland","actor"
"Alan","Dreyfuss","actor"
"Alan","Kahn","customer"
"Albert","Nolte","actor"
"Albert","Johansson","actor"
"Albert","Crouse","customer"
"Alberto","Henning","customer"
"Alec","Wayne","actor"
"Alex","Gresham","customer"
"Alexander","Fennell","customer"
"Alfred","Casillas","customer"
"Alfredo","Mcadams","customer"
"Alice","Stewart","customer"
"Alicia","Mills","customer"
"Allan","Cornish","customer"
"Allen","Butterfield","customer"
"Allison","Stanley","customer"
"Alma","Austin","customer"
"Alvin","Deloach","customer"
"Amanda","Carter","customer"
"Amber","Dixon","customer"
"Amy","Lopez","customer"
"Ana","Bradley","customer"
"Andre","Rapp","customer"
"Andrea","Henderson","customer"
"Andrew","Purdy","customer"
"Andy","Vanhorn","customer"
"Angel","Barclay","customer"
"Angela","Hernandez","customer"
"Angela","Hudson","actor"
"Angela","Witherspoon","actor"
"Angelina","Astaire","actor"
"Anita","Morales","customer"
"Ann","Evans","customer"
"Anna","Hill","customer"
"Anne","Powell","customer"
"Anne","Cronyn","actor"
"Annette","Olson","customer"
"Annie","Russell","customer"
"Anthony","Schwab","customer"
"Antonio","Meek","customer"
"April","Burns","customer"
"Arlene","Harvey","customer"
"Armando","Gruber","customer"
"Arnold","Havens","customer"
"Arthur","Simpkins","customer"
"Ashley","Richardson","customer"
"Audrey","Bailey","actor"
"Audrey","Olivier","actor"
"Audrey","Ray","customer"
"Austin","Cintron","customer"
"Barbara","Jones","customer"
"Barry","Lovelace","customer"
"Beatrice","Arnold","customer"
"Becky","Miles","customer"
"Bela","Walken","actor"
"Ben","Easter","customer"
"Ben","Willis","actor"
"Ben","Harris","actor"
"Benjamin","Varney","customer"
"Bernard","Colby","customer"
"Bernice","Willis","customer"
"Bertha","Ferguson","customer"
"Bessie","Morrison","customer"
"Beth","Franklin","customer"
"Bette","Nicholson","actor"
"Betty","White","customer"
"Beverly","Brooks","customer"
"Bill","Gavin","customer"
"Billie","Horton","customer"
"Billy","Poulin","customer"
"Bob","Pfeiffer","customer"
"Bob","Fawcett","actor"
"Bobbie","Craig","customer"
"Bobby","Boudreau","customer"
"Bonnie","Hughes","customer"
"Brad","Mccurdy","customer"
"Bradley","Motley","customer"
"Brandon","Huey","customer"
"Brandy","Graves","customer"
"Brenda","Wright","customer"
"Brent","Harkins","customer"
"Brett","Cornwell","customer"
"Brian","Wyman","customer"
"Brittany","Riley","customer"
"Bruce","Schwarz","customer"
"Bryan","Hardison","customer"
"Burt","Posey","actor"
"Burt","Dukakis","actor"
"Burt","Temple","actor"
"Byron","Box","customer"
"Calvin","Martel","customer"
"Cameron","Wray","actor"
"Cameron","Streep","actor"
"Cameron","Zellweger","actor"
"Carl","Artis","customer"
"Carla","Gutierrez","customer"
"Carlos","Coughlin","customer"
"Carmen","Owens","customer"
"Carmen","Hunt","actor"
"Carol","Garcia","customer"
"Carole","Barnett","customer"
"Caroline","Bowman","customer"
"Carolyn","Perez","customer"
"Carrie","Porter","customer"
